name_0	count_x	name_1	name_2	count_y
Muhammad b. Humayd al-Razi	2879	#####	#####	29
Muhammad b. Humayd al-Razi	2879	Abbad	Ibrahim b. Ma'mar	1
Muhammad b. Humayd al-Razi	2879	Abd Allah b. 'Abd al-Qaddus	al-'Amash	1
Muhammad b. Humayd al-Razi	2879	Abd Allah b. Yazid	#####	1
Muhammad b. Humayd al-Razi	2879	Abd Allah b. Yazid	Hayyawa	1
Muhammad b. Humayd al-Razi	2879	Abd Allah b. al-Jahm	Amr b. Abi Qays	1
Muhammad b. Humayd al-Razi	2879	Abd al-'Aziz b. 'Abd al-Samad	Abu 'Umran al-Jawni	1
Muhammad b. Humayd al-Razi	2879	Abd al-Karim b. Muhammad al-Jurjani	Abu Bakr al-Hudhali	1
Muhammad b. Humayd al-Razi	2879	Abd al-Wahhab b. Mu'awiyya	Abu Hubayra	1
Muhammad b. Humayd al-Razi	2879	Abu 'Abd al-Rahman al-Muqri'	Sa'id b. Abi Ayyub	1
Muhammad b. Humayd al-Razi	2879	Abu Dawud	Hisham al-Dustawa'i	1
Muhammad b. Humayd al-Razi	2879	Abu Dawud Basri	Hammad	1
Muhammad b. Humayd al-Razi	2879	Abu Mu'awiya	Hisham b. 'Urwa	1
Muhammad b. Humayd al-Razi	2879	Abu Salih al-Khurasani	Hammad	1
Muhammad b. Humayd al-Razi	2879	Abu Tamila	Ya'qub	1
Muhammad b. Humayd al-Razi	2879	Ahmad b. Khalid	Yahya b. Abi Bukayr	1
Muhammad b. Humayd al-Razi	2879	Ali b. Mujahid	Ibn Ishaq	2
Muhammad b. Humayd al-Razi	2879	Anbasa	الكلبي وقولوا قولا سديدا الأحزاب	1
Muhammad b. Humayd al-Razi	2879	Bahram	Sufyan	1
Muhammad b. Humayd al-Razi	2879	Bahz b. Asad	Abu 'Awana	1
Muhammad b. Humayd al-Razi	2879	Bahz b. Asad	Hamam	1
Muhammad b. Humayd al-Razi	2879	Hakkam	Abd al-Malik	1
Muhammad b. Humayd al-Razi	2879	Hakkam	Abu Ja'far	13
Muhammad b. Humayd al-Razi	2879	Hakkam	Abu Ja'far Jisr b. Farqad	1
Muhammad b. Humayd al-Razi	2879	Hakkam	Abu Junayd	1
Muhammad b. Humayd al-Razi	2879	Hakkam	Abu Mu'adh	2
Muhammad b. Humayd al-Razi	2879	Hakkam	Abu Sinan	2
Muhammad b. Humayd al-Razi	2879	Hakkam	Abu al-Junayd	1
Muhammad b. Humayd al-Razi	2879	Hakkam	Amr	51
Muhammad b. Humayd al-Razi	2879	Hakkam	Amr b. Abi Qays	9
Muhammad b. Humayd al-Razi	2879	Hakkam	Amr b. Qays	1
Muhammad b. Humayd al-Razi	2879	Hakkam	Anbasa	106
Muhammad b. Humayd al-Razi	2879	Hakkam	Anbasa b. Sa'id	1
Muhammad b. Humayd al-Razi	2879	Hakkam	Ayyub	1
Muhammad b. Humayd al-Razi	2879	Hakkam	Ibn Salam	1
Muhammad b. Humayd al-Razi	2879	Hakkam	Ibn Salm	2
Muhammad b. Humayd al-Razi	2879	Hakkam	Isa b. Yazid	3
Muhammad b. Humayd al-Razi	2879	Hakkam	Isma'il	4
Muhammad b. Humayd al-Razi	2879	Hakkam	Muhammad b. 'Abd al-Rahman b. Abi Layla	1
Muhammad b. Humayd al-Razi	2879	Hakkam	Sa'id b. Sabiq	1
Muhammad b. Humayd al-Razi	2879	Hakkam	Sufyan	3
Muhammad b. Humayd al-Razi	2879	Hakkam	Tha'laba	1
Muhammad b. Humayd al-Razi	2879	Hakkam	Tha'laba b. Suhayl	4
Muhammad b. Humayd al-Razi	2879	Hakkam	al-Jarah	1
Muhammad b. Humayd al-Razi	2879	Hakkam b. Salm	Abd al-Malik	2
Muhammad b. Humayd al-Razi	2879	Hakkam b. Salm	Abu Ja'far	1
